WT,Isoprene producer_642,Isoprene producer_704,Isoprene producer_731,Category
0.046681552867650064,0.013340776433825034,0.01,0.023340776433825032,Carbohydrates and Phosphorylated Intermediates
0.43,0.3522610663687682,0.19547786726246363,0.25130533184384096,Carbohydrates and Phosphorylated Intermediates
0.31681398761228524,0.17,0.37978060277109293,0.7275834621029807,Carbohydrates and Phosphorylated Intermediates
0.22224868516954022,0.332449737033908,0.33581348612284484,0.19683730277543102,Carbohydrates and Phosphorylated Intermediates
0.4131951187672347,0.5017073125246211,0.3531951187672347,0.3485121937573863,Carbohydrates and Phosphorylated Intermediates
0.32321090289338494,0.3540595400317118,0.27745408858501935,0.2565062180605061,Carbohydrates and Phosphorylated Intermediates
0.02302172351467832,0.04395655297064336,0.018489138242660838,0.09640224418394755,Carbohydrates and Phosphorylated Intermediates
0.03886918084659493,0.021651885634946196,0.03443459042329747,0.10939024732813606,Carbohydrates and Phosphorylated Intermediates
0.5376880702273942,0.568844035113697,0.37231192977260585,0.34115596488630295,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.5154166601015967,0.5208333202031933,0.33312499015239494,0.28468748522859244,Organic acid
0.40159662522202144,0.4220756127886278,0.616647087033755,0.40920168738898927,Organic acid
0.305382123487557,0.25074804964423464,0.15,0.25305698790045617,Organic acid
0.5303589813589595,0.5651794906794797,0.37964101864104044,0.3448205093205203,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5333277964694466,0.5666638982347233,0.3766722035305534,0.34333610176527674,Organic acid
0.28080375842093264,0.25560281881569946,0.19773834456124353,0.785453198991658,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.5308881956105969,0.57,0.39004596965668686,0.34,Organic acid
0.5022319294841173,0.57,0.45308975513494176,0.34,Organic acid
0.5170062349796498,0.5240124699592995,0.33550935246947466,0.288264028704212,Organic acid
0.18990599908836533,0.1953500826875921,0.2983176665147275,0.31119124943022836,Organic acid
0.5227080131127997,0.5613540065563998,0.38729198688720035,0.3486459934436002,Organic acid
0.5012525316982224,0.5506262658491112,0.4087474683017776,0.3593737341508888,Organic acid
0.16365728381075023,0.15369139098379994,0.2679198684432998,0.2563427161892498,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5158060094400726,0.5216120188801451,0.33370901416010884,0.2855635212401633,Organic acid
0.3085331773158759,0.277532007184945,0.15,0.27826541852700704,Organic acid
0.5290908798342568,0.5481817596685137,0.35363631975138526,0.3154544796270779,Organic acid
0.3328578538164085,0.3030616307522334,0.20877733838505036,0.33571570763281694,Organic acid
0.51852219872027,0.57,0.4172511628154061,0.34,Organic acid
0.22854182420439,0.22770845380335708,0.21708320359638467,0.28520834260025824,Organic acid
0.30922344048698697,0.28339924413938933,0.15,0.28378752389589584,Organic acid
0.5337813539471261,0.566890676973563,0.3762186460528739,0.343109323026437,Organic acid
0.46967841321648574,0.44957121762198093,0.3150535977972524,0.29548238017527145,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.3304101398796618,0.29280760490974633,0.2638801865062157,0.6076969987645453,Organic acid
0.4,0.42,0.62,0.41,Organic acid
0.3375076026619321,0.3057186300925326,0.22073383541639674,0.34501520532386415,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.3307391453992858,0.3018509402281633,0.20332923102673484,0.3314782907985715,Organic acid
0.5066106775625201,0.5032213551250402,0.31991601634378014,0.2648740245156702,Organic acid
0.5393745437303523,0.5696872718651761,0.37062545626964777,0.3403127281348239,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.3523582937277101,0.3142047392729772,0.25892132672839746,0.37471658745542025,Organic acid
0.34347905397744305,0.37054417223026265,0.528153462713345,0.4170651182528196,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.4038610884906566,0.36181478465420885,0.3260231519182239,0.3942083672640151,Organic acid
0.471134195274865,0.5124744538573245,0.4706181899227835,0.3744329023625675,Organic acid
0.4790175540531206,0.5227228202690568,0.45406313648844676,0.3704912229734397,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5139569189799222,0.5569784594899612,0.39604308102007774,0.35302154051003887,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.34146154718967425,0.3079780269655281,0.23090112134487661,0.35292309437934843,Organic acid
0.4923671906807671,0.4833212918456712,0.3119082023298082,0.258586910484137,Organic acid
0.5148327300879306,0.5574163650439653,0.39516726991206935,0.3525836349560347,Organic acid
0.18967381210045892,0.1467536501065443,0.24363777537290499,0.23032618789954112,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5,0.49,0.31,0.25,Organic acid
0.44197774343920515,0.43923052550930447,0.3245055641401987,0.31527503863089423,Organic acid
0.5,0.55,0.41,0.36,Organic acid
0.5246829250098485,0.5623414625049242,0.38531707499015155,0.3476585374950758,Organic acid
0.2857568143083655,0.12113151618443585,0.15396030664552546,0.13424318569163443,Organic acid
0.36942396769862584,0.32395655297064335,0.3028044883678951,0.4088479353972517,Organic acid
0.18174057182526904,0.14886918084659492,0.25104213296308225,0.238259428174731,Organic acid
